EGNO|WARTON|53.745|-2.883|17
EGNC|CARLISLE|54.933|-2.95|26
EGQM|BOULMER|55.417|-1.6|27
EGNT|NEWCASTLE|55.033|-1.683|81
EGXE|LEEMING|54.3|-1.533|32
EGXD|DISFORTH AIRFIELD|54.133|-1.417|33
EGNV|TEESSIDE|54.5|-1.417|37
EGXZ|TOPCLIFFE|54.2|-1.383|28
EGXU|LINTON-ON-OUSE|54.05|-1.25|14
EGOV|VALLEY|53.25|-4.533|10
EGNH|BLACKPOOL|53.767|-3.033|10
EGNR|HAWARDEN|53.167|-2.983|9
EGGP|LIVERPOOL|53.333|-2.85|24
EGCC|MANCHESTER AIRPORT|53.35|-2.283|69
EGCB|MANCHESTER/BARTON|53.483|-2.25|37
EGNM|LEEDS BRADFORD|53.867|-1.65|208
EGHK|PENZANCE HELIPORT|50.117|-5.517|4
EGHQ|NEWQUAY CORNWALL|50.433|-4.983|119
EGTD|DUNSFOLD|51.117|-0.536|52
EGCV|SLEAP|52.834|-2.772|84
EGSY|SHEFFIELD CITY|53.383|-1.383|70
EGXG|CHURCH FENTON|53.833|-1.2|8
EGYE|BARKSTON HEATH|52.95|-0.55|112
EGXP|SCAMPTON|53.3|-0.55|57
EGNJ|HUMBERSIDE|53.567|-0.35|37
EGXW|WADDINGTON|53.167|-0.517|68
EGYD|CRANWELL|53.033|-0.5|62
EGXV|LECONFIELD|53.883|-0.433|9
EGXV|LECONFIELD (AUT)|53.867|-0.433|6
EGXX|DONNA NOOK NO.2|53.467|0.067|8
EGXS|DONNA NOOK RAF|53.467|0.15|3
EGXC|CONINGSBY|53.083|-0.167|6
EGYW|WAINFLEET|53.083|0.267|5
EGOD|LLANBEDR|52.8|-4.117|9
EGCN|DONCASTER SHEFFIELD|53.483|1|17
EGSD|NORTH DENES AIRPORT|52.65|-1.783|2
EGOS|SHAWBURY|52.8|-2.667|72
EGWC|COSFORD|52.633|-2.3|83
EGNX|EAST MIDLANDS|52.833|-1.317|93
EGXJ|COTTESMORE|52.733|-0.65|142
EGXT|WITTERING|52.617|-0.467|73
EGYH|HOLBEACH|52.867|0.15|2
EGYH|HOLBEACH RAF RANGE|52.883|0.183|12
EGYH|HOLBEACH RAF RANGE|52.883|0.183|12
EGYM|MARHAM|52.65|0.567|21
EGYV|WEST RAYNHAM|52.783|0.733|76
EGUP|SCULTHORPE (AF MET)|52.85|0.767|65
EGUP|SCULTHORPE (AF MET)|52.85|0.767|65
EGUH|HIGH WICOMBE(USAF)|51.617|0.767|75
EGSH|NORWICH WEA CNTRE|52.633|1.317|18
EGYC|COLTISHALL|52.767|1.35|17
EGUC|ABERPORTH|52.133|-4.567|134
EGSH|NORWICH|52.683|1.283|37
EGBB|BIRMINGHAM AIRPORT|52.45|-1.733|99
EGBE|COVENTRY|52.367|-1.467|81
EGBC|BITTESWELL|52.45|-1.25|134
EGTC|CRANFIELD|52.067|-0.617|109
EGWZ|ALCONBURY RAF|52.367|-0.217|49
EGUY|WYTON(RAF)|52.35|-0.117|41
EGPI|ISLAY|55.683|-6.25|17
EGSC|CAMBRIDGE|52.2|0.167|14
EGUN|MILDENHALL RAF|52.367|0.483|10
EGUN|MILDENHALL RAF|52.367|0.483|10
EGUL|LAKENHEATH RAF|52.417|0.567|10
EGUL|LAKENHEATH RAF|52.417|0.567|10
EGUL|LAKENHEATH RAF|52.4|0.567|10
EGUW|WATTISHAM|52.117|0.967|89
EGXN|NEWTON|52.967|-0.983|55
EGVG|WOODBRIDGE RAF|52.083|1.4|29
EGVJ|BENTWATERS RAF|52.133|1.433|26
EGVJ|BENTWATERS RAF|52.133|1.433|26
EGOP|PEMBREY SANDS|51.717|-4.367|6
EGFH|SWANSEA|51.6|-4.067|91
EGTG|BRISTOL FILTON|51.517|-2.583|69
EGBJ|GLOUCESTERSHIRE|51.883|-2.167|31
EGBP|KEMBLE|51.667|-2.05|133
EGDN|NETHERAVON(RA)|51.25|-1.767|139
EGVA|FAIRFORD RAF|51.683|-1.783|87
EGVN|BRIZE NORTON|51.75|-1.583|81
EGUA|UPPER HEYFORD RAF|51.933|-1.25|133
EGUB|BENSON|51.617|-1.083|57
EGUO|COLERNE|51.433|-2.283|181
EGWU|NORTHOLT|51.55|-0.417|39
EGGW|LUTON|51.867|-0.367|160
EGSS|STANSTED AIRPORT|51.883|0.233|106
EGTH|HATFEILD (PRIVATE)|51.767|-0.25|77
EGVT|WEATHERSFIELD RAF|51.967|0.5|101
EGVT|WEATHERSFIELD RAF|51.967|0.5|101
EGMC|SOUTHEND|51.567|0.683|15
EGDC|CHIVENOR|51.083|-4.15|6
EGFF|CARDIFF-WALES ARPT|51.4|-3.35|67
EGDX|ST ATHAN|51.4|-3.433|51
EGDX|ST. ATHAN|51.4|-3.433|49
EGGD|BRISTOL|51.383|-2.717|190
EGDL|LYNEHAM|51.5|-1.983|147
EGVI|GREENHAM COMMON RAF|51.383|-1.283|122
EGDJ|UPAVON|51.3|-1.767|175
EGDM|BOSCOMBE DOWN|51.167|-1.75|126
EGVP|MIDDLE WALLOP|51.15|-1.567|91
EGVO|ODIHAM|51.233|-0.95|118
EGRR|BRACKNELL/BEAUFORT|51.383|-0.783|74
EGUF|FARNBOROUGH (MIL)|51.283|-0.767|72
EGKB|BIGGIN HILL|51.333|0.033|182
EGLF|FARNBOROUGH|51.283|-0.767|64
EGLC|LONDON/CITY|51.5|0.05|6
EGLL|LONDON/HEATHROW AIR|51.483|-0.45|25
EGKK|LONDON/GATWICK ARPT|51.15|-0.183|62
EGRB|LONDON WEATHER CENT|51.517|-0.1|43
EGTI|LEAVESDEN|51.683|-0.417|102
EGMK|ASHFORD/LYMPNE|51.083|1.017|107
EGMH|MANSTON|51.35|1.333|50
EGMH|MANSTON|51.35|1.333|50
EGHE|SCILLY: ST MARYS AI|49.917|-6.3|30
EGHE|SCILLY/ST.MARYS|49.933|-6.3|51
EGDR|CULDROSE|50.083|-5.25|84
EGDG|ST. MAWGAN|50.433|-5|103
EGDB|PLYMOUTH MOUNT BATT|50.35|-4.117|50
EGHD|PLYMOUTH|50.417|-4.1|145
EGTE|EXETER AIRPORT|50.733|-3.4|31
EGDY|YEOVILTON|51|-2.633|20
EGDP|PORTLAND HELIPORT|50.567|-2.45|3
